as_of,und,exp_dt,strike_px,put_call,bid_px,ask_px,last_px,trd_vol,oi,imp_vol,delta,opt_root,exch,snap_id,rec_hash
2026-08-12,ES,20261016,5850,P,100,101.5,100.75,9078,47082,0.1143,-0.133,ES,CME,snap-20260812-es,ES-20261016-5850-P-20260812
2026-08-12,ES,2026-10-16,5900,C,167.75,170,169,18805,89392,0.1119,0.913,ES,CME,snap-20260812-es,ES-20261016-5900-C-20260812
2026-08-12,ES,2026-10-16,5900,Put,98.75,100,99.5,9568,35228,0.1127,-0.087,ES,CME,snap-20260812-es,ES-20261016-5900-P-20260812
2026-08-12,ES,2026-10-16,5950,C,117.25,118.75,118,14171,63337,0.1109,0.97,ES,CME,snap-20260812-es,ES-20261016-5950-C-20260812
08/12/2026,ES,2026-10-16,5950,put,97.25,98.75,98,11716,35772,0.1111,-0.029,ES,CME,snap-20260812-es,ES-20261016-5950-P-20260812
08/12/26,ES,2026-10-16,6000,C,97.5,98.75,98,20300,67965,0.1112,0.959,ES,CME,snap-20260812-es,ES-20261016-6000-C-20260812
20260812,ES,2026-10-16,6000,P ,126.75,128.5,127.5,18196,82576,0.1111,-0.04,ES,CME,snap-20260812-es,ES-20261016-6000-P-20260812
20260812,ES,10/16/2026,6050,C,98.5,99.75,99,6898,20985,0.1124,0.903,ES,CME,snap-20260812-es,ES-20261016-6050-C-20260812
08/12/26,ES,2026-10-16,6050,P,177.25,179.75,178.5,17204,65625,0.1121,-0.097,ES,CME,snap-20260812-es,ES-20261016-6050-P-20260812
08/12/2026,ES,2026-10-16,6100,C,99.5,100.75,100,18132,"51,733",0.1136,0.859,ES,CME,snap-20260812-es,ES-20261016-6100-C-20260812
08/12/2026,ES,2026-10-16,6100,P,227.75,231,229.5,20866,112020,0.11,-0.141,ES,CME,snap-20260812-es,ES-20261016-6100-P-20260812
2026-08-12,ES,2026-10-16,6150,C,100.50,102,101.25,8052,30739,0.1147,0.824,ES,CME,snap-20260812-es,ES-20261016-6150-C-20260812
20260812,ES,10/16/2026,6150,P,278.25,282.25,280.25,6767,26720,0.114,-0.176,ES,CME,snap-20260812-es,ES-20261016-6150-P-20260812
08/12/26,ES,2026-10-16,6200,Call,101.5,103,102.25,6595,26482,0.12,0.795,ES,CME,snap-20260812-es,ES-20261016-6200-C-20260812
2026-08-12,ES,2026-10-16,6200,put,328.75,333.75,331.25,8990,30942,0.115,-0.205,ES,CME,snap-20260812-es,ES-20261016-6200-P-20260812
08/12/26,ES,10/16/2026,6250,C,102.50,104,103.25,"7,199",24965,0.1171,0.771,ES,CME,snap-20260812-es,ES-20261016-6250-C-20260812
2026-08-12,ES,2026-10-16,6250,P,379.00,385.00,382.00,5449,23807,0.116,-0.23,ES,CME,snap-20260812-es,ES-20261016-6250-P-20260812
2026-08-12,es,10/16/26,6300,C,103.5,105,104.25,3791,15511,0.12,0.751,ES,CME,snap-20260812-es,ES-20261016-6300-C-20260812
20260812,ES,20261016,6300,P,429.50,436.25,433,5063,27678,0.117,-0.249,ES,CME,snap-20260812-es,ES-20261016-6300-P-20260812
20260812,ES,2026-10-16,6350,C,104.5,106.25,105.50,3210,7125,0.1194,0.733,ES,CME,snap-20260812-es,ES-20261016-6350-C-20260812
2026-08-12,ES,2026-10-16,"6,350.00",P,480,487.50,483.75,5649,26993,0.1179,-0.267,ES,CME,snap-20260812-es,ES-20261016-6350-P-20260812
20260812,ES,20261016,6400,C,105.5,107.25,106.5,3359,11404,0.1206,0.718,ES,CME,snap-20260812-es,ES-20261016-6400-C-20260812
2026-08-12,es,10/16/26,"6,400.00",P,530.25,539,534.5,"3,675",16679,0.1189,-0.282,ES,CME,snap-20260812-es,ES-20261016-6400-P-20260812
08/12/2026,ES,2026-10-16,6450,C,106.5,108.25,107.5,1162,5086,0.1218,0.704,ES,CME,snap-20260812-es,ES-20261016-6450-C-20260812
2026-08-12,ES,2026-10-16,6450,P,580.5,590.25,585.5,1031,5243,0.1199,-0.296,ES,CME,snap-20260812-es,ES-20261016-6450-P-20260812
2026-08-12,es,2026-12-18,5450,C,662.25,677,669.5,348,858,0.1207,0.695,ES,CME,snap-20260812-es,ES-20261218-5450-C-20260812
08/12/26,ES,2026-12-18,5450,P,155.25,158.75,157,285,1534,0.13,-0.305,ES,CME,snap-20260812-es,ES-20261218-5450-P-20260812
20260812,ES,12/18/2026,5500,C,611.75,625.25,618.5,874,2219,0.1197,0.707,ES,CME,snap-20260812-es,ES-20261218-5500-C-20260812
08/12/2026,ES,20261218,5500,P,153.5,156.75,155,456,1469,0.1253,-0.293,ES,CME,snap-20260812-es,ES-20261218-5500-P-20260812
2026-08-12,ES,2026-12-18,5550,C,561,573.25,567,802,2929,0.1187,0.721,ES,CME,snap-20260812-es,ES-20261218-5550-C-20260812
20260812,ES,2026-12-18,5550,P,151.5,154.75,153,1391,6245,0.1238,-0.279,ES,CME,snap-20260812-es,ES-20261218-5550-P-20260812
2026-08-12,ES,12/18/2026,5600,C,510.5,521.5,516,1814,6535,0.1178,0.736,ES,CME,snap-20260812-es,ES-20261218-5600-C-20260812
2026-08-12,ES,12/18/2026,5600,P,149.5,152.75,151,2761,11965,0.1222,-0.264,ES,CME,snap-20260812-es,ES-20261218-5600-P-20260812
2026-08-12,ES,20261218,5650,C,460,469.50,464.75,3483,9573,0.1168,0.75,ES,CME,snap-20260812-es,ES-20261218-5650-C-20260812
08/12/2026,es,12/18/2026,5650,P,147.75,150.75,149.25,2774,14674,0.1206,-0.246,ES,CME,snap-20260812-es,ES-20261218-5650-P-20260812
2026-08-12,ES,12/18/26,5700,C,409.25,417.75,413.5,6860,20011,0.1158,0.776,ES,CME,snap-20260812-es,ES-20261218-5700-C-20260812
2026-08-12,ES,20261218,5700,P,145.75,148.75,147.25,5096,"21,475",0.119,-0.224,ES,CME,snap-20260812-es,ES-20261218-5700-P-20260812
2026-08-12,ES,20261218,5750,C,358.75,366,362.5,4957,21408,0.1148,0.8,ES,CME,snap-20260812-es,ES-20261218-5750-C-20260812
2026-08-12,ES,2026-12-18,5750,P,144,146.75,145.5,3196,8634,0.1175,-0.20,ES,CME,snap-20260812-es,ES-20261218-5750-P-20260812
08/12/2026,ES,2026-12-18,5800,C,308,314.25,311,4972,14680,0.1138,0.83,ES,CME,snap-20260812-es,ES-20261218-5800-C-20260812
2026-08-12,ES,2026-12-18,5800,P,142,144.75,143.5,4755,25222,0.1159,-0.17,ES,CME,snap-20260812-es,ES-20261218-5800-P-20260812
08/12/2026,ES,2026-12-18,5850,C,257.25,262.5,260,3886,"10,549",0.1129,0.867,ES,CME,snap-20260812-es,ES-20261218-5850-C-20260812
20260812,ES,20261218,5850,P,140,142.75,141.5,5576,22145,0.1143,-0.133,ES,CME,snap-20260812-es,ES-20261218-5850-P-20260812
2026-08-12,ES,12/18/26,5900,C,206.75,210.75,208.75,10972,40738,0.1119,0.913,ES,CME,snap-20260812-es,ES-20261218-5900-C-20260812
2026-08-12,es,12/18/2026,5900,P,138.25,140.75,139.5,5103,21443,0.1127,-0.087,ES,CME,snap-20260812-es,ES-20261218-5900-P-20260812
2026-08-12,ES,12/18/2026,5950,Call,156,159,157.5,"5,044",11933,0.1109,0.971,ES,CME,snap-20260812-es,ES-20261218-5950-C-20260812
20260812,ES,20261218,5950,P,136.25,138.75,137.5,7123,31940,0.1111,-0.029,ES,CME,snap-20260812-es,ES-20261218-5950-P-20260812
08/12/2026,ES,2026-12-18,6000,C,136.25,139,137.5,5362,24960,0.1112,0.959,ES,CME,snap-20260812-es,ES-20261218-6000-C-20260812
20260812,ES,2026-12-18,6000,P,165.75,168.75,167.25,9481,37460,0.1111,-0.04,ES,CME,snap-20260812-es,ES-20261218-6000-P-20260812
08/12/26,ES,2026-12-18,6050,C,137.75,140.5,139,7189,21582,0.11,0.903,ES,CME,snap-20260812-es,ES-20261218-6050-C-20260812
2026-08-12,ES,12/18/2026,6050,P,216.25,220.5,218.5,9166,"48,366",0.1121,-0.097,ES,CME,snap-20260812-es,ES-20261218-6050-P-20260812
08/12/26,ES,2026-12-18,6100,C,139.25,142,140.5,6107,"21,797",0.1136,0.859,ES,CME,snap-20260812-es,ES-20261218-6100-C-20260812
08/12/2026,ES,12/18/26,6100,P,267,272.25,269.5,12060,38253,0.113,-0.141,ES,CME,snap-20260812-es,ES-20261218-6100-P-20260812
2026-08-12,ES,2026-12-18,6150,C,140.5,143.5,142,2748,7011,0.11,0.824,ES,CME,snap-20260812-es,ES-20261218-6150-C-20260812
08/12/2026,ES,2026-12-18,6150,P,317.75,324,321,5222,20512,0.114,-0.176,ES,CME,snap-20260812-es,ES-20261218-6150-P-20260812
20260812,ES,20261218,6200,C,142,144.75,143.5,4158,14787,0.1159,0.795,ES,CME,snap-20260812-es,ES-20261218-6200-C-20260812
20260812,ES,2026-12-18,6200,Put,368.25,375.75,372,4116,14834,0.12,-0.205,ES,CME,snap-20260812-es,ES-20261218-6200-P-20260812
2026-08-12,ES,2026-12-18,6250,C,143.5,146.25,145,4565,16037,0.1171,0.771,ES,CME,snap-20260812-es,ES-20261218-6250-C-20260812
08/12/2026,ES,2026-12-18,6250,P,419,427.5,423.25,5260,23844,0.116,-0.229,ES,CME,snap-20260812-es,ES-20261218-6250-P-20260812
2026-08-12,ES,2026-12-18,6300,C,144.75,147.75,146.25,3196,14696,0.1183,0.751,ES,CME,snap-20260812-es,ES-20261218-6300-C-20260812
08/12/26,ES,2026-12-18,6300,P ,469.5,479.5,474.5,2236,10010,0.117,-0.249,ES,CME,snap-20260812-es,ES-20261218-6300-P-20260812
2026-08-12,ES,2026-12-18,6350,C,146.25,149.25,147.75,2263,6414,0.1194,0.733,ES,CME,snap-20260812-es,ES-20261218-6350-C-20260812
2026-08-12,ES,20261218,6350,Put,520,531.25,525.5,2984,15534,0.1179,-0.267,ES,CME,snap-20260812-es,ES-20261218-6350-P-20260812
2026-08-12,ES,12/18/2026,6400,C,147.75,150.75,149.25,835,2365,0.12,0.718,ES,CME,snap-20260812-es,ES-20261218-6400-C-20260812
08/12/26,ES,2026-12-18,6400,P,570.75,583,577.00,1654,8035,0.1189,-0.282,ES,CME,snap-20260812-es,ES-20261218-6400-P-20260812
08/12/2026,ES,2026-12-18,6450,C,149,152.25,150.5,592,1592,0.1218,0.704,ES,CME,snap-20260812-es,ES-20261218-6450-C-20260812
20260812,ES,12/18/2026,6450,P,621.25,635,628.00,433,1924,0.1199,-0.296,ES,CME,snap-20260812-es,ES-20261218-6450-P-20260812
2026-08-13,ES,2026-08-21,5500,C,532.5,538.75,535.5,1053,4780,0.12,0.7,ES,CME,snap-20260813-es,ES-20260821-5500-C-20260813
2026-08-13,ES,2026-08-21,5500,P,39,39.5,39.25,1308,5368,0.1262,-0.3,ES,CME,snap-20260813-es,ES-20260821-5500-P-20260813
2026-08-13,ES,2026-08-21,5550,C,482.5,488.25,485.5,1314,5737,0.1192,0.713,ES,CME,snap-20260813-es,ES-20260821-5550-C-20260813
2026-08-13,ES,08/21/26,5550,P,38.5,39,38.75,3103,16468,0.1246,-0.287,ES,CME,snap-20260813-es,ES-20260821-5550-P-20260813
2026-08-13,es,20260821,5600,Call,432.5,437.5,435,"3,104",10419,0.1183,0.728,ES,CME,snap-20260813-es,ES-20260821-5600-C-20260813
08/13/26,ES,08/21/2026,5600,P,38,38.5,38.25,5558,27205,0.123,-0.272,ES,CME,snap-20260813-es,ES-20260821-5600-P-20260813
2026-08-13,ES,2026-08-21,5650,C,382.5,386.75,384.5,8355,18915,0.1173,0.744,ES,CME,snap-20260813-es,ES-20260821-5650-C-20260813
2026-08-13,ES,08/21/2026,5650,P,37.5,38,37.75,9273,34510,0.1214,-0.256,ES,CME,snap-20260813-es,ES-20260821-5650-P-20260813
2026-08-13,ES,08/21/26,5700,C,332.5,336.25,334.5,11002,26040,0.1163,0.76,ES,CME,snap-20260813-es,ES-20260821-5700-C-20260813
08/13/2026,ES,2026-08-21,5700,P,37,37.5,37.25,"8,581",39879,0.1199,-0.236,ES,CME,snap-20260813-es,ES-20260821-5700-P-20260813
2026-08-13,ES,08/21/2026,5750,C,282.75,285.5,284,5895,26019,0.1153,0.787,ES,CME,snap-20260813-es,ES-20260821-5750-C-20260813
2026-08-13,ES,2026-08-21,5750,P,36.5,37,36.75,11445,56358,0.1183,-0.213,ES,CME,snap-20260813-es,ES-20260821-5750-P-20260813
08/13/2026,ES,2026-08-21,5800,C,232.75,235.00,234,"19,244",86992,0.1144,0.813,ES,CME,snap-20260813-es,ES-20260821-5800-C-20260813
2026-08-13,ES,2026-08-21,5800,P,36,36.5,36.25,18076,50239,0.1167,-0.187,ES,CME,snap-20260813-es,ES-20260821-5800-P-20260813
2026-08-13,ES,2026-08-21,5850,C,182.5,184.5,183.5,15476,68754,0.1134,0.846,ES,CME,snap-20260813-es,ES-20260821-5850-C-20260813
08/13/26,ES,20260821,5850,P,35.50,36,35.75,23434,80053,0.1152,-0.154,ES,CME,snap-20260813-es,ES-20260821-5850-P-20260813
08/13/26,ES,08/21/2026,5900,C,132.5,133.75,133,17180,73964,0.1124,0.886,ES,CME,snap-20260813-es,ES-20260821-5900-C-20260813
2026-08-13,ES,2026-08-21,5900,P,35.25,35.5,35.5,26993,109333,0.1136,-0.114,ES,CME,snap-20260813-es,ES-20260821-5900-P-20260813
20260813,ES,08/21/2026,"5,950.00",C,82.5,83.25,83,10673,34765,0.1114,0.937,ES,CME,snap-20260813-es,ES-20260821-5950-C-20260813
2026-08-13,ES,2026-08-21,5950,P,34.75,35,35,11084,38783,0.112,-0.063,ES,CME,snap-20260813-es,ES-20260821-5950-P-20260813
08/13/26,ES,2026-08-21,"6,000.00",C,34.25,34.5,34.5,26412,81530,0.1105,0.997,ES,CME,snap-20260813-es,ES-20260821-6000-C-20260813
2026-08-13,ES,08/21/2026,6000,P,36,36.25,36,19107,63032,0.1105,-0.003,ES,CME,snap-20260813-es,ES-20260821-6000-P-20260813
20260813,es,2026-08-21,6050,C,34.5,35,34.75,17395,54556,0.11,0.933,ES,CME,snap-20260813-es,ES-20260821-6050-C-20260813
08/13/2026,ES,20260821,6050,P,86,86.75,86.5,14096,59789,0.1115,-0.067,ES,CME,snap-20260813-es,ES-20260821-6050-P-20260813
08/13/2026,ES,2026-08-21,6100,C,35,35.25,35,27008,66290,0.11,0.883,ES,CME,snap-20260813-es,ES-20260821-6100-C-20260813
2026-08-13,ES,2026-08-21,6100,P,136,137.25,136.5,19163,81691,0.1125,-0.117,ES,CME,snap-20260813-es,ES-20260821-6100-P-20260813
08/13/2026,ES,2026-08-21,6150,Call,35.25,35.5,35.5,14242,49879,0.1141,0.844,ES,CME,snap-20260813-es,ES-20260821-6150-C-20260813
2026-08-13,ES,08/21/26,6150,Put,186,188,187,23218,117687,0.1135,-0.156,ES,CME,snap-20260813-es,ES-20260821-6150-P-20260813
2026-08-13,ES,08/21/2026,6200,C,35.75,36,36,22885,85560,0.1152,0.811,ES,CME,snap-20260813-es,ES-20260821-6200-C-20260813
2026-08-13,ES,2026-08-21,6200,Put,236.25,238.5,237.50,"22,153",61893,0.1144,-0.189,ES,CME,snap-20260813-es,ES-20260821-6200-P-20260813
2026-08-13,ES,08/21/26,6250,C,36,36.25,36,14611,41007,0.1164,0.785,ES,CME,snap-20260813-es,ES-20260821-6250-C-20260813
2026-08-13,ES,08/21/26,6250,C,36,36.25,36,14611,41007,0.1164,0.785,ES,CME,snap-20260813-es-retry,ES-20260821-6250-C-20260813
08/13/2026,ES,2026-08-21,6250,P,286.25,289,287.50,6660,22925,0.1154,-0.215,ES,CME,snap-20260813-es,ES-20260821-6250-P-20260813
2026-08-13,ES,20260821,6300,Call,36.25,36.75,36.5,15798,57238,0.1176,0.762,ES,CME,snap-20260813-es,ES-20260821-6300-C-20260813
2026-08-13,ES,2026-08-21,6300,P,336,339.75,338.00,10128,25874,0.1164,-0.238,ES,CME,snap-20260813-es,ES-20260821-6300-P-20260813
2026-08-13,ES,08/21/26,6350,C,36.75,37,37,5480,"22,279",0.12,0.743,ES,CME,snap-20260813-es,ES-20260821-6350-C-20260813
08/13/2026,ES,2026-08-21,6350,P,386,390.25,388,3423,13592,0.1174,-0.257,ES,CME,snap-20260813-es,ES-20260821-6350-P-20260813
08/13/2026,ES,2026-08-21,6400,C,37,37.50,37.25,3112,12340,0.1199,0.727,ES,CME,snap-20260813-es,ES-20260821-6400-C-20260813
08/13/2026,ES,20260821,6400,P,436,441,438.5,3599,14701,0.1183,-0.273,ES,CME,snap-20260813-es,ES-20260821-6400-P-20260813
08/13/26,ES,20260821,6450,C,37.50,37.75,37.5,2141,8968,0.1211,0.712,ES,CME,snap-20260813-es,ES-20260821-6450-C-20260813
2026-08-13,ES,2026-08-21,6450,P,486,491.75,489,3991,"14,327",0.1193,-0.288,ES,CME,snap-20260813-es,ES-20260821-6450-P-20260813
20260813,ES,2026-08-21,6500,C,37.75,38.25,38,1352,4354,0.1222,0.7,ES,CME,snap-20260813-es,ES-20260821-6500-C-20260813
08/13/2026,ES,08/21/2026,6500,P,536,542.25,539,1326,5858,0.1203,-0.3,ES,CME,snap-20260813-es,ES-20260821-6500-P-20260813
2026-08-13,ES,2026-08-28,5500,C,546,552.75,549.5,1375,4523,0.1202,0.7,ES,CME,snap-20260813-es,ES-20260828-5500-C-20260813
2026-08-13,ES,2026-08-28,5500,P,53.25,54,53.5,1566,6219,0.1262,-0.3,ES,CME,snap-20260813-es,ES-20260828-5500-P-20260813
2026-08-13,ES,2026-08-28,5550,C,496.00,502,499,2698,11747,0.1192,0.713,ES,CME,snap-20260813-es,ES-20260828-5550-C-20260813
2026-08-13,ES,08/28/2026,5550,P,52.75,53.25,53,1803,8349,0.1246,-0.287,ES,CME,snap-20260813-es,ES-20260828-5550-P-20260813
20260813,ES,08/28/2026,5600,C,446.00,451.25,448.5,6577,15288,0.1183,0.728,ES,CME,snap-20260813-es,ES-20260828-5600-C-20260813
2026-08-13,ES,2026-08-28,5600,P,52,52.75,52.5,7835,41335,0.123,-0.272,ES,CME,snap-20260813-es,ES-20260828-5600-P-20260813
08/13/2026,ES,2026-08-28,5650,C,395.75,400.5,398,4761,20189,0.1173,0.744,ES,CME,snap-20260813-es,ES-20260828-5650-C-20260813
2026-08-13,ES,2026-08-28,5650,P,51.50,52,51.75,6419,28494,0.1214,-0.256,ES,CME,snap-20260813-es,ES-20260828-5650-P-20260813
2026-08-13,ES,2026-08-28,5700,C,345.75,349.75,347.75,14028,"64,217",0.1163,0.764,ES,CME,snap-20260813-es,ES-20260828-5700-C-20260813
2026-08-13,ES,2026-08-28,5700,P,50.75,51.25,51,17856,90223,0.12,-0.236,ES,CME,snap-20260813-es,ES-20260828-5700-P-20260813
2026-08-13,ES,2026-08-28,5750,C,295.75,299,297.5,6520,22831,0.1153,0.787,ES,CME,snap-20260813-es,ES-20260828-5750-C-20260813
2026-08-13,ES,08/28/26,5750,P,50,50.5,50.25,15285,66810,0.1183,-0.213,ES,CME,snap-20260813-es,ES-20260828-5750-P-20260813
2026-08-13,ES,20260828,"5,800.00",C,245.5,248.25,247,12769,45812,0.1144,0.813,ES,CME,snap-20260813-es,ES-20260828-5800-C-20260813
2026-08-13,ES,20260828,"5,800.00",P,49.5,50,49.75,13795,52895,0.1167,-0.187,ES,CME,snap-20260813-es,ES-20260828-5800-P-20260813
20260813,ES,2026-08-28,5850,C,195.50,197.5,196.5,10667,31369,0.1134,0.846,ES,CME,snap-20260813-es,ES-20260828-5850-C-20260813
20260813,ES,2026-08-28,5850,P,48.75,49.25,49,17726,77597,0.1152,-0.154,ES,CME,snap-20260813-es,ES-20260828-5850-P-20260813
2026-08-13,ES,2026-08-28,5900,C,145.25,146.75,146,16160,72486,0.1124,0.886,ES,CME,snap-20260813-es,ES-20260828-5900-C-20260813
2026-08-13,ES,2026-08-28,5900,P,48,48.5,48.25,14539,70720,0.1136,-0.114,ES,CME,snap-20260813-es,ES-20260828-5900-P-20260813
2026-08-13,ES,2026-08-28,5900,P,48,48.5,48.25,14539,70720,0.1136,-0.114,ES,CME,snap-20260813-es-retry,ES-20260828-5900-P-20260813
08/13/2026,ES,20260828,5950,Call,95.25,96.25,95.75,18474,43916,0.1114,0.937,ES,CME,snap-20260813-es,ES-20260828-5950-C-20260813
2026-08-13,ES,20260828,5950,P,47.5,48,47.75,12713,"48,934",0.112,-0.063,ES,CME,snap-20260813-es,ES-20260828-5950-P-20260813
08/13/2026,ES,2026-08-28,6000,C,46.75,47.25,47.00,31064,97275,0.1105,0.997,ES,CME,snap-20260813-es,ES-20260828-6000-C-20260813
2026-08-13,ES,08/28/2026,6000,P,48.5,49,48.75,14364,72986,0.1105,-0.003,ES,CME,snap-20260813-es,ES-20260828-6000-P-20260813
2026-08-13,ES,08/28/26,"6,050.00",C,47.25,47.75,47.5,15948,42555,0.1117,0.933,ES,CME,snap-20260813-es,ES-20260828-6050-C-20260813
2026-08-13,ES,2026-08-28,6050,P,98.75,99.75,99.25,26725,100380,0.1115,-0.067,ES,CME,snap-20260813-es,ES-20260828-6050-P-20260813
08/13/2026,ES,2026-08-28,6100,Call,47.75,48.25,48,11958,41026,0.1129,0.88,ES,CME,snap-20260813-es,ES-20260828-6100-C-20260813
2026-08-13,ES,2026-08-28,6100,Put,149.00,150.25,149.50,14911,53230,0.1125,-0.117,ES,CME,snap-20260813-es,ES-20260828-6100-P-20260813
2026-08-13,ES,2026-08-28,6150,C,48.25,48.75,48.5,16691,61539,0.11,0.844,ES,CME,snap-20260813-es,ES-20260828-6150-C-20260813
2026-08-13,ES,08/28/2026,6150,P,199,201,200,7922,38232,0.1135,-0.156,ES,CME,snap-20260813-es,ES-20260828-6150-P-20260813
2026-08-13,ES,2026-08-28,"6,200.00",C,48.75,49.25,49,7224,23037,0.1152,0.811,ES,CME,snap-20260813-es,ES-20260828-6200-C-20260813
20260813,ES,08/28/2026,6200,P,249.25,251.75,250.5,19526,69495,0.1144,-0.189,ES,CME,snap-20260813-es,ES-20260828-6200-P-20260813
2026-08-13,ES,2026-08-28,6250,C,49.25,49.75,49.5,"13,031",56227,0.1164,0.785,ES,CME,snap-20260813-es,ES-20260828-6250-C-20260813
2026-08-13,ES,2026-08-28,6250,P,299.25,302.5,301,14890,67457,0.1154,-0.215,ES,CME,snap-20260813-es,ES-20260828-6250-P-20260813
2026-08-13,ES,2026-08-28,6300,C,49.75,50.25,50,14555,66774,0.1176,0.762,ES,CME,snap-20260813-es,ES-20260828-6300-C-20260813
20260813,ES,2026-08-28,6300,P,349.25,353.25,351.25,6082,29378,0.1164,-0.238,ES,CME,snap-20260813-es,ES-20260828-6300-P-20260813
08/13/26,ES,08/28/2026,6350,C,50.25,50.75,50.5,"7,151",19523,0.1187,0.743,ES,CME,snap-20260813-es,ES-20260828-6350-C-20260813
20260813,ES,20260828,6350,P,399.25,404,401.5,6826,23018,0.1174,-0.257,ES,CME,snap-20260813-es,ES-20260828-6350-P-20260813
08/13/26,ES,2026-08-28,6400,C,50.75,51.25,51,3833,17362,0.1199,0.727,ES,CME,snap-20260813-es,ES-20260828-6400-C-20260813
08/13/26,es,20260828,6400,P,449.5,454.75,452,4509,16998,0.1183,-0.273,ES,CME,snap-20260813-es,ES-20260828-6400-P-20260813
08/13/2026,ES,08/28/2026,6450,C,51.25,51.75,51.5,2407,9318,0.1211,0.712,ES,CME,snap-20260813-es,ES-20260828-6450-C-20260813
08/13/2026,ES,2026-08-28,"6,450.00",P,499.5,505.5,502.5,3808,19877,0.1193,-0.288,ES,CME,snap-20260813-es,ES-20260828-6450-P-20260813
20260813,es,08/28/2026,6500,C,51.75,52.25,52,910,2982,0.1222,0.7,ES,CME,snap-20260813-es,ES-20260828-6500-C-20260813
20260813,ES,08/28/2026,6500,P,549.5,556.50,553,994,4865,0.1203,-0.3,ES,CME,snap-20260813-es,ES-20260828-6500-P-20260813
2026-08-13,ES,2026-09-18,5500,C,573.5,581.75,577.5,1017,2286,0.1202,0.7,ES,CME,snap-20260813-es,ES-20260918-5500-C-20260813
2026-08-13,ES,2026-09-18,5500,P,82.5,83.75,83,1335,6223,0.1262,-0.3,ES,CME,snap-20260813-es,ES-20260918-5500-P-20260813
2026-08-13,ES,2026-09-18,5550,C,523.25,530.5,527,1161,2901,0.1192,0.713,ES,CME,snap-20260813-es,ES-20260918-5550-C-20260813
2026-08-13,ES,09/18/2026,5550,P,81.5,82.75,82,1354,3915,0.1246,-0.287,ES,CME,snap-20260813-es,ES-20260918-5550-P-20260813
08/13/2026,ES,09/18/26,5600,C,473,479.5,476.25,6011,19113,0.1183,0.728,ES,CME,snap-20260813-es,ES-20260918-5600-C-20260813
08/13/2026,ES,2026-09-18,5600,P,80.5,81.75,81,3784,13661,0.123,-0.272,ES,CME,snap-20260813-es,ES-20260918-5600-P-20260813
08/13/2026,ES,2026-09-18,5650,C,422.75,428.5,425.5,4079,15327,0.1173,0.744,ES,CME,snap-20260813-es,ES-20260918-5650-C-20260813
2026-08-13,ES,2026-09-18,5650,P ,79.5,80.5,80,4808,22152,0.1214,-0.256,ES,CME,snap-20260813-es,ES-20260918-5650-P-20260813
2026-08-13,ES,09/18/2026,5700,C,372.5,377.5,375,5464,13791,0.1163,0.764,ES,CME,snap-20260813-es,ES-20260918-5700-C-20260813
20260813,ES,20260918,5700,P,78.5,79.5,79.00,"10,192",45668,0.1199,-0.236,ES,CME,snap-20260813-es,ES-20260918-5700-P-20260813
2026-08-13,es,2026-09-18,5750,C,322.25,326.25,324.25,5286,19485,0.1153,0.787,ES,CME,snap-20260813-es,ES-20260918-5750-C-20260813
2026-08-13,ES,09/18/26,5750,P,77.5,78.5,78,9044,48224,0.12,-0.213,ES,CME,snap-20260813-es,ES-20260918-5750-P-20260813
2026-08-13,ES,2026-09-18,5800,C,272,275.25,273.5,19867,56008,0.1144,0.813,ES,CME,snap-20260813-es,ES-20260918-5800-C-20260813
08/13/26,ES,20260918,5800,P,76.5,77.5,77,23104,110185,0.1167,-0.187,ES,CME,snap-20260813-es,ES-20260918-5800-P-20260813
2026-08-13,ES,20260918,5850,C,221.75,224.25,223,9925,44580,0.1134,0.846,ES,CME,snap-20260813-es,ES-20260918-5850-C-20260813
2026-08-13,ES,2026-09-18,5850,put,75.5,76.5,76,13556,36276,0.1152,-0.154,ES,CME,snap-20260813-es,ES-20260918-5850-P-20260813
2026-08-13,ES,2026-09-18,5900,Call,171.25,173.25,172.25,10439,44773,0.1124,0.886,ES,CME,snap-20260813-es,ES-20260918-5900-C-20260813
08/13/2026,ES,2026-09-18,5900,P,74.5,75.25,75,"21,697",112725,0.1136,-0.114,ES,CME,snap-20260813-es,ES-20260918-5900-P-20260813
08/13/26,ES,2026-09-18,5950,C,121,122.5,121.75,20006,"74,088",0.1114,0.937,ES,CME,snap-20260813-es,ES-20260918-5950-C-20260813
2026-08-13,ES,2026-09-18,5950,P ,73.5,74.25,74,"9,322","43,500",0.11,-0.063,ES,CME,snap-20260813-es,ES-20260918-5950-P-20260813
2026-08-13,ES,2026-09-18,6000,C,72.5,73.25,73,23718,104518,0.1105,0.997,ES,CME,snap-20260813-es,ES-20260918-6000-C-20260813
2026-08-13,ES,2026-09-18,6000,P,74.25,75,74.5,30960,141168,0.1105,-0.003,ES,CME,snap-20260813-es,ES-20260918-6000-P-20260813
08/13/2026,ES,20260918,6050,C,73.25,74,73.5,11053,37134,0.1117,0.933,ES,CME,snap-20260813-es,ES-20260918-6050-C-20260813
08/13/26,ES,2026-09-18,"6,050.00",put,124.5,126,125.25,22201,109814,0.1115,-0.067,ES,CME,snap-20260813-es,ES-20260918-6050-P-20260813
08/13/26,ES,2026-09-18,"6,050.00",put,124.5,126,125.25,22201,109814,0.1115,-0.067,ES,CME,snap-20260813-es-retry,ES-20260918-6050-P-20260813
